[21:30:30] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:30:31] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:30:32] [Anonimo | Teste] Movimento cessado
[21:30:32] [Anonimo | Teste] Movimento detectado
[21:30:32] [Anonimo | Teste] Movimento cessado
[21:30:32] [Anonimo | Teste] Movimento detectado
[21:30:34] [Anonimo | Teste] Rosto: Olhando Para Cima (SENT)
[21:30:34] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:30:37] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:30:44] [Anonimo | Teste] Rosto: Olhando Para Baixo (SENT)
[21:30:44] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:30:44] [Anonimo | Teste] Rosto: Olhando Para Baixo (SENT)
[21:30:45] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:30:51] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:30:52] [Anonimo | Teste] Rosto: Olhando Para Cima (SENT)
[21:30:53] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:30:54] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:30:56] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:30:56] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:00] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:31:01] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:02] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:03] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:04] [Anonimo | Teste] Movimento cessado
[21:31:04] [Anonimo | Teste] Movimento detectado
[21:31:04] [Anonimo | Teste] Movimento cessado
[21:31:04] [Anonimo | Teste] Movimento detectado
[21:31:05] [Anonimo | Teste] Movimento cessado
[21:31:05] [Anonimo | Teste] Movimento detectado
[21:31:05] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:31:05] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:07] [Anonimo | Teste] Rosto: Olhando Para Baixo (SENT)
[21:31:08] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:08] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:31:08] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:10] [Anonimo | Teste] Movimento cessado
[21:31:11] [Anonimo | Teste] Movimento detectado
[21:31:11] [Anonimo | Teste] Movimento cessado
[21:31:11] [Anonimo | Teste] Movimento detectado
[21:31:11] [Anonimo | Teste] Movimento cessado
[21:31:11] [Anonimo | Teste] Movimento detectado
[21:31:12] [Anonimo | Teste] Movimento cessado
[21:31:12] [Anonimo | Teste] Movimento detectado
[21:31:12] [Anonimo | Teste] Movimento cessado
[21:31:12] [Anonimo | Teste] Movimento detectado
[21:31:12] [Anonimo | Teste] Movimento cessado
[21:31:12] [Anonimo | Teste] Movimento detectado
[21:31:13] [Anonimo | Teste] Movimento cessado
[21:31:13] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:31:13] [Anonimo | Teste] Movimento detectado
[21:31:13] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:16] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:31:16] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:17] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:31:17] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:21] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:22] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:23] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:23] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:24] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:24] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:31:25] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:25] [Anonimo | Teste] Movimento cessado
[21:31:26] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:31:26] [Anonimo | Teste] Movimento detectado
[21:31:26] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:27] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:27] [Anonimo | Teste] Rosto: Olhando Para Baixo (SENT)
[21:31:28] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:30] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:30] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:32] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:32] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:35] [Anonimo | Teste] Rosto: Olhando Direita (SENT)
[21:31:35] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:40] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:41] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:42] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:46] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:47] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:47] [Anonimo | Teste] Movimento cessado
[21:31:47] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:47] [Anonimo | Teste] Movimento detectado
[21:31:48] [Anonimo | Teste] Movimento cessado
[21:31:49] [Anonimo | Teste] Movimento detectado
[21:31:49] [Anonimo | Teste] Movimento cessado
[21:31:49] [Anonimo | Teste] Movimento detectado
[21:31:49] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:51] [Anonimo | Teste] Movimento cessado
[21:31:51] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:51] [Anonimo | Teste] Movimento detectado
[21:31:51] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:52] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:52] [Anonimo | Teste] Rosto: Olhando Para Cima (SENT)
[21:31:53] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:54] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:54] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:55] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:56] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:56] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:56] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:57] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:31:58] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:31:58] [Anonimo | Teste] Rosto: Olhando Para Cima (SENT)
[21:31:59] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:32:00] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:32:01] [Anonimo | Teste] Rosto: Olhando Para Baixo (SENT)
[21:32:01] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:32:01] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:32:03] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:32:03] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:32:05] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:32:05] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:32:06] [Anonimo | Teste] Rosto: Olhando Para Baixo (SENT)
[21:32:06] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:32:07] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:32:07] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:32:07] [Anonimo | Teste] Rosto: Olhando Direita (SENT)
[21:32:07] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:32:08] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:32:08] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:32:08] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:32:10] [Anonimo | Teste] Rosto: Olhando Esquerda (SENT)
[21:32:10] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:32:13] [Anonimo | Teste] Rosto: Olhando Para Cima (SENT)
[21:32:13] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:32:14] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[21:32:15] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:32:16] [Anonimo | Teste] Rosto: Olhando Direita (SENT)
[21:32:16] [Anonimo | Teste] Rosto: Nenhum Rosto (SENT)
[21:32:19] [Anonimo | Teste] Rosto: Detectado (Centro) (SENT)
[15:08:57] [dsaasd | asdasd] Movimento detectado
[15:08:57] [dsaasd | asdasd] Movimento cessado
[15:08:57] [dsaasd | asdasd] Rosto: Nenhum Rosto (SENT)
[15:08:58] [dsaasd | asdasd] Rosto: Olhando Direita (SENT)
[15:08:58] [dsaasd | asdasd] Movimento detectado
[15:08:58] [dsaasd | asdasd] Movimento cessado
[15:08:59] [dsaasd | asdasd] Rosto: Nenhum Rosto (SENT)
[15:08:59] [dsaasd | asdasd] Rosto: Olhando Esquerda (SENT)
[15:08:59] [dsaasd | asdasd] Movimento detectado
[15:09:00] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:00] [dsaasd | asdasd] Rosto: Olhando Para Cima (SENT)
[15:09:02] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:02] [dsaasd | asdasd] Rosto: Olhando Direita (SENT)
[15:09:03] [dsaasd | asdasd] Rosto: Olhando Para Cima (SENT)
[15:09:04] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:07] [dsaasd | asdasd] Rosto: Olhando Esquerda (SENT)
[15:09:09] [dsaasd | asdasd] Rosto: Nenhum Rosto (SENT)
[15:09:09] [dsaasd | asdasd] Movimento cessado
[15:09:10] [dsaasd | asdasd] Movimento detectado
[15:09:11] [dsaasd | asdasd] Movimento cessado
[15:09:11] [dsaasd | asdasd] Movimento detectado
[15:09:11] [dsaasd | asdasd] Movimento cessado
[15:09:12] [dsaasd | asdasd] Rosto: Olhando Esquerda (SENT)
[15:09:12] [dsaasd | asdasd] Movimento detectado
[15:09:13] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:13] [dsaasd | asdasd] Rosto: Olhando Esquerda (SENT)
[15:09:13] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:13] [dsaasd | asdasd] Rosto: Olhando Esquerda (SENT)
[15:09:14] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:14] [dsaasd | asdasd] Rosto: Olhando Para Cima (SENT)
[15:09:15] [dsaasd | asdasd] Rosto: Olhando Esquerda (SENT)
[15:09:15] [dsaasd | asdasd] Rosto: Olhando Para Cima (SENT)
[15:09:15] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:15] [dsaasd | asdasd] Rosto: Olhando Direita (SENT)
[15:09:16] [dsaasd | asdasd] Movimento cessado
[15:09:16] [dsaasd | asdasd] Rosto: Nenhum Rosto (SENT)
[15:09:16] [dsaasd | asdasd] Movimento detectado
[15:09:20] [dsaasd | asdasd] Rosto: Olhando Esquerda (SENT)
[15:09:21] [dsaasd | asdasd] Rosto: Nenhum Rosto (SENT)
[15:09:24] [dsaasd | asdasd] Rosto: Olhando Esquerda (SENT)
[15:09:24] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:26] [dsaasd | asdasd] Rosto: Nenhum Rosto (SENT)
[15:09:26] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:27] [dsaasd | asdasd] Rosto: Olhando Esquerda (SENT)
[15:09:27] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:28] [dsaasd | asdasd] Rosto: Olhando Esquerda (SENT)
[15:09:29] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:30] [dsaasd | asdasd] Rosto: Olhando Esquerda (SENT)
[15:09:30] [dsaasd | asdasd] Rosto: Nenhum Rosto (SENT)
[15:09:31] [dsaasd | asdasd] Rosto: Olhando Para Cima (SENT)
[15:09:31] [dsaasd | asdasd] Rosto: Nenhum Rosto (SENT)
[15:09:32] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:33] [dsaasd | asdasd] Rosto: Nenhum Rosto (SENT)
[15:09:33] [dsaasd | asdasd] Rosto: Olhando Esquerda (SENT)
[15:09:34] [dsaasd | asdasd] Rosto: Nenhum Rosto (SENT)
[15:09:34] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:34] [dsaasd | asdasd] Rosto: Olhando Esquerda (SENT)
[15:09:35] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:35] [dsaasd | asdasd] Rosto: Olhando Para Baixo (SENT)
[15:09:36] [dsaasd | asdasd] Rosto: Nenhum Rosto (SENT)
[15:09:36] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:38] [dsaasd | asdasd] Rosto: Nenhum Rosto (SENT)
[15:09:38] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[15:09:39] [dsaasd | asdasd] Rosto: Nenhum Rosto (SENT)
[15:09:39] [dsaasd | asdasd] Rosto: Detectado (Centro) (SENT)
[18:00:02] [asda | ssss] Movimento detectado
[18:00:02] [asda | ssss] Movimento cessado
[18:00:02] [asda | ssss] Rosto: Nenhum Rosto (SENT)
[18:00:02] [asda | ssss] Movimento detectado
[18:00:03] [asda | ssss] Movimento cessado
[18:00:03] [asda | ssss] Movimento detectado
[18:00:03] [asda | ssss] Movimento cessado
[18:00:03] [asda | ssss] Rosto: Olhando Para Baixo (SENT)
[18:00:03] [asda | ssss] Movimento detectado
[18:00:03] [asda | ssss] Rosto: Detectado (Centro) (SENT)
[18:00:04] [asda | ssss] Movimento cessado
[18:00:04] [asda | ssss] Movimento detectado
[18:00:04] [asda | ssss] Movimento cessado
[18:00:04] [asda | ssss] Movimento detectado
[18:00:04] [asda | ssss] Movimento cessado
[18:00:04] [asda | ssss] Movimento detectado
[18:00:05] [asda | ssss] Movimento cessado
[18:00:05] [asda | ssss] Movimento detectado
[18:00:05] [asda | ssss] Movimento cessado
